race_code,cand_id,name,party,slot,incumbent,first_pct,final_pct,win_prob,won
AK-GOV,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,0,47.65,57.75,96.1,1
AK-GOV,C-0074,Bernadette Wilson,REP,rep,0,20.61,42.25,3.9,0
AK-GOV,C-1061,Dave Bronson,REP,,0,16.69,0.0,0.0,0
AK-GOV,C-1068,Treg Taylor,REP,,0,15.04,0.0,0.0,0
AK-SEN,C-0001,Mary Peltola,DEM,dem,0,48.68,50.35,54.6,1
AK-SEN,C-0002,Dan S. Sullivan,REP,rep,1,47.67,49.65,45.4,0
AK-SEN,C-1062,Daniel J. Sullivan Jr.,NPA,,0,2.5,0.0,0.0,0
AK-SEN,C-1066,Gerald L. Heikes,REP,,0,1.15,0.0,0.0,0
ME-SEN,C-1043,Troy Jackson,DEM,dem,0,50.74,50.74,57.6,1
ME-SEN,C-0030,Susan Collins,REP,rep,1,49.26,49.26,42.4,0
AK-01,C-0145,Nick Begich III,REP,rep,1,49.31,50.92,58.7,1
AK-01,C-1013,Bill Hill,IND,ind,0,45.69,49.08,41.3,0
AK-01,C-1063,Eric Hafner,DEM,,0,3.8,0.0,0.0,0
AK-01,C-1071,"James C. ""Jim"" McDermott",LIB,,0,1.2,0.0,0.0,0
ME-01,C-0535,Chellie Pingree,DEM,dem,1,64.3,64.3,99.8,1
ME-01,C-0536,Ronald Russell,REP,rep,0,35.7,35.7,0.2,0
ME-02,C-0537,Matthew Dunlap,DEM,dem,0,49.21,49.21,42.2,0
ME-02,C-0538,Paul LePage,REP,rep,0,50.79,50.79,57.8,1
