race_code,race_type,state,district,total_votes,dem_votes,rep_votes,ind_votes,oth_votes,dem_pct,rep_pct,ind_pct,oth_pct,oth_party,ind_name
AK-GOV,governor,AK,GOV,236446,106241,126421,0,3783,44.93,53.47,0.0,1.6,,
AL-GOV,governor,AL,GOV,1585563,626256,959307,0,0,39.5,60.5,0.0,0.0,,
AR-GOV,governor,AR,GOV,839457,309029,530428,0,0,36.81,63.19,0.0,0.0,,
AZ-GOV,governor,AZ,GOV,2372523,1267137,1105386,0,0,53.41,46.59,0.0,0.0,,
CA-GOV,governor,CA,GOV,11098543,7095394,4003150,0,0,63.93,36.07,0.0,0.0,,
CO-GOV,governor,CO,GOV,2234922,1347357,887564,0,0,60.29,39.71,0.0,0.0,,
CT-GOV,governor,CT,GOV,1231140,735751,495389,0,0,59.76,40.24,0.0,0.0,,
FL-GOV,governor,FL,GOV,7654826,3632946,4021881,0,0,47.46,52.54,0.0,0.0,,
GA-GOV,governor,GA,GOV,3675046,1908058,1766988,0,0,51.92,48.08,0.0,0.0,,
HI-GOV,governor,HI,GOV,361691,238164,123527,0,0,65.85,34.15,0.0,0.0,,
IA-GOV,governor,IA,GOV,1164454,601386,563068,0,0,51.65,48.35,0.0,0.0,,
ID-GOV,governor,ID,GOV,633543,176212,457331,0,0,27.81,72.19,0.0,0.0,,
IL-GOV,governor,IL,GOV,3954737,2334268,1620469,0,0,59.02,40.98,0.0,0.0,,
KS-GOV,governor,KS,GOV,929314,409200,520113,0,0,44.03,55.97,0.0,0.0,,
MA-GOV,governor,MA,GOV,2431568,1601550,830018,0,0,65.86,34.14,0.0,0.0,,
MD-GOV,governor,MD,GOV,2126834,1446498,680336,0,0,68.01,31.99,0.0,0.0,,
ME-GOV,governor,ME,GOV,581962,323818,258145,0,0,55.64,44.36,0.0,0.0,,
MI-GOV,governor,MI,GOV,3964262,2232919,1731343,0,0,56.33,43.67,0.0,0.0,,
MN-GOV,governor,MN,GOV,2277744,1239731,1038013,0,0,54.43,45.57,0.0,0.0,,
NE-GOV,governor,NE,GOV,663011,271972,391039,0,0,41.02,58.98,0.0,0.0,,
NH-GOV,governor,NH,GOV,578332,255791,322542,0,0,44.23,55.77,0.0,0.0,,
NM-GOV,governor,NM,GOV,646377,345641,300736,0,0,53.47,46.53,0.0,0.0,,
NV-GOV,governor,NV,GOV,1039067,534430,504637,0,0,51.43,48.57,0.0,0.0,,
NY-GOV,governor,NY,GOV,5813499,3305959,2507540,0,0,56.87,43.13,0.0,0.0,,
OH-GOV,governor,OH,GOV,4035512,1930088,2105424,0,0,47.83,52.17,0.0,0.0,,
OK-GOV,governor,OK,GOV,1096222,376453,719769,0,0,34.34,65.66,0.0,0.0,,
OR-GOV,governor,OR,GOV,1571774,832533,739241,0,0,52.97,47.03,0.0,0.0,,
PA-GOV,governor,PA,GOV,4923617,2866043,2057574,0,0,58.21,41.79,0.0,0.0,,
RI-GOV,governor,RI,GOV,359348,215964,143384,0,0,60.1,39.9,0.0,0.0,,
SC-GOV,governor,SC,GOV,1783698,783184,1000514,0,0,43.91,56.09,0.0,0.0,,
SD-GOV,governor,SD,GOV,298473,110125,188348,0,0,36.9,63.1,0.0,0.0,,
TN-GOV,governor,TN,GOV,2144759,853384,1291376,0,0,39.79,60.21,0.0,0.0,,
TX-GOV,governor,TX,GOV,7983170,3642373,4340797,0,0,45.63,54.37,0.0,0.0,,
VT-GOV,governor,VT,GOV,258595,96628,161968,0,0,37.37,62.63,0.0,0.0,,
WI-GOV,governor,WI,GOV,2396043,1308779,1087264,0,0,54.62,45.38,0.0,0.0,,
WY-GOV,governor,WY,GOV,188334,56498,131836,0,0,30.0,70.0,0.0,0.0,,
AK-SEN,senate,AK,SEN,236446,115228,117435,0,3783,48.73,49.67,0.0,1.6,,
AL-SEN,senate,AL,SEN,1585563,599724,985839,0,0,37.82,62.18,0.0,0.0,,
AR-SEN,senate,AR,SEN,839457,309590,529867,0,0,36.88,63.12,0.0,0.0,,
CO-SEN,senate,CO,SEN,2234922,1402733,832189,0,0,62.76,37.24,0.0,0.0,,
DE-SEN,senate,DE,SEN,357542,222738,134805,0,0,62.3,37.7,0.0,0.0,,
FL-SEN,senate,FL,SEN,7654826,3636320,4018506,0,0,47.5,52.5,0.0,0.0,,
GA-SEN,senate,GA,SEN,3675046,2047730,1627316,0,0,55.72,44.28,0.0,0.0,,
IA-SEN,senate,IA,SEN,1164454,561194,572635,0,30625,48.19,49.18,0.0,2.63,LIB,
ID-SEN,senate,ID,SEN,633543,191263,442280,0,0,30.19,69.81,0.0,0.0,,
IL-SEN,senate,IL,SEN,3954737,2371516,1583221,0,0,59.97,40.03,0.0,0.0,,
KS-SEN,senate,KS,SEN,929314,399591,529722,0,0,43.0,57.0,0.0,0.0,,
KY-SEN,senate,KY,SEN,1452169,506070,946099,0,0,34.85,65.15,0.0,0.0,,
LA-SEN,senate,LA,SEN,1404882,520495,884388,0,0,37.05,62.95,0.0,0.0,,
MA-SEN,senate,MA,SEN,2431568,1625381,806186,0,0,66.85,33.15,0.0,0.0,,
ME-SEN,senate,ME,SEN,581962,290886,285256,0,5820,49.98,49.02,0.0,1.0,,
MI-SEN,senate,MI,SEN,3964262,2100952,1863310,0,0,53.0,47.0,0.0,0.0,,
MN-SEN,senate,MN,SEN,2277744,1245167,1032577,0,0,54.67,45.33,0.0,0.0,,
MS-SEN,senate,MS,SEN,859605,371026,488579,0,0,43.16,56.84,0.0,0.0,,
MT-SEN,senate,MT,SEN,422074,55247,225325,126054,15448,13.09,53.39,29.87,3.66,IND,Seth Bodnar
NC-SEN,senate,NC,SEN,3987467,2063302,1849599,0,74566,51.74,46.39,0.0,1.87,GRN,
NE-SEN,senate,NE,SEN,663011,0,356571,306440,0,0.0,53.78,46.22,0.0,IND,Dan Osborn
NH-SEN,senate,NH,SEN,578332,317199,261133,0,0,54.85,45.15,0.0,0.0,,
NJ-SEN,senate,NJ,SEN,2913686,1736000,1177686,0,0,59.58,40.42,0.0,0.0,,
NM-SEN,senate,NM,SEN,646377,382300,264078,0,0,59.14,40.86,0.0,0.0,,
OH-SEN,senate,OH,SEN,4035512,1950719,2021435,0,63358,48.34,50.09,0.0,1.57,LIB,
OK-SEN,senate,OK,SEN,1096222,356069,740153,0,0,32.48,67.52,0.0,0.0,,
OR-SEN,senate,OR,SEN,1571774,957556,614218,0,0,60.92,39.08,0.0,0.0,,
RI-SEN,senate,RI,SEN,359348,225334,134014,0,0,62.71,37.29,0.0,0.0,,
SC-SEN,senate,SC,SEN,1783698,809254,941089,0,33355,45.37,52.76,0.0,1.87,LIB,
SD-SEN,senate,SD,SEN,298473,105604,192869,0,0,35.38,64.62,0.0,0.0,,
TN-SEN,senate,TN,SEN,2144759,731333,1413427,0,0,34.1,65.9,0.0,0.0,,
TX-SEN,senate,TX,SEN,7983170,3924813,3897895,0,160462,49.16,48.83,0.0,2.01,LIB,
VA-SEN,senate,VA,SEN,3152302,1852951,1299351,0,0,58.78,41.22,0.0,0.0,,
WV-SEN,senate,WV,SEN,533673,152553,381120,0,0,28.59,71.41,0.0,0.0,,
WY-SEN,senate,WY,SEN,188334,53450,134883,0,0,28.38,71.62,0.0,0.0,,
AK-01,house,AK,01,236446,107898,124765,0,3783,45.63,52.77,0.0,1.6,,Bill Hill
AL-01,house,AL,01,229648,83914,145735,0,0,36.54,63.46,0.0,0.0,,
AL-02,house,AL,02,205222,100672,104550,0,0,49.06,50.94,0.0,0.0,,
AL-03,house,AL,03,221487,64122,157365,0,0,28.95,71.05,0.0,0.0,,
AL-04,house,AL,04,226703,43032,183671,0,0,18.98,81.02,0.0,0.0,,
AL-05,house,AL,05,247520,93869,153651,0,0,37.92,62.08,0.0,0.0,,
AL-06,house,AL,06,244631,85773,158858,0,0,35.06,64.94,0.0,0.0,,
AL-07,house,AL,07,210352,141142,69210,0,0,67.1,32.9,0.0,0.0,,
AR-01,house,AR,01,195826,54427,141399,0,0,27.79,72.21,0.0,0.0,,
AR-02,house,AR,02,225476,99964,125512,0,0,44.33,55.67,0.0,0.0,,
AR-03,house,AR,03,221598,80670,140928,0,0,36.4,63.6,0.0,0.0,,
AR-04,house,AR,04,196558,58509,138049,0,0,29.77,70.23,0.0,0.0,,
AZ-01,house,AZ,01,315514,164287,145295,0,5932,52.07,46.05,0.0,1.88,LIB,
