race_code,race_type,state,district,total_votes,dem_votes,rep_votes,ind_votes,oth_votes,dem_pct,rep_pct,ind_pct,oth_pct,oth_party,ind_name
AK-GOV,governor,AK,GOV,236446,110553,122110,0,3783,46.76,51.64,0.0,1.6,,
AL-GOV,governor,AL,GOV,1585563,610491,975072,0,0,38.5,61.5,0.0,0.0,,
AR-GOV,governor,AR,GOV,839457,301264,538193,0,0,35.89,64.11,0.0,0.0,,
AZ-GOV,governor,AZ,GOV,2372523,1258821,1113703,0,0,53.06,46.94,0.0,0.0,,
CA-GOV,governor,CA,GOV,11098543,7131481,3967063,0,0,64.26,35.74,0.0,0.0,,
CO-GOV,governor,CO,GOV,2234922,1334629,900292,0,0,59.72,40.28,0.0,0.0,,
CT-GOV,governor,CT,GOV,1231140,717680,513459,0,0,58.29,41.71,0.0,0.0,,
FL-GOV,governor,FL,GOV,7654826,3634778,4020048,0,0,47.48,52.52,0.0,0.0,,
GA-GOV,governor,GA,GOV,3675046,1864310,1810737,0,0,50.73,49.27,0.0,0.0,,
HI-GOV,governor,HI,GOV,361691,234891,126800,0,0,64.94,35.06,0.0,0.0,,
IA-GOV,governor,IA,GOV,1164454,586667,577787,0,0,50.38,49.62,0.0,0.0,,
ID-GOV,governor,ID,GOV,633543,170415,463128,0,0,26.9,73.1,0.0,0.0,,
IL-GOV,governor,IL,GOV,3954737,2311914,1642823,0,0,58.46,41.54,0.0,0.0,,
KS-GOV,governor,KS,GOV,929314,392395,536918,0,0,42.22,57.78,0.0,0.0,,
MA-GOV,governor,MA,GOV,2431568,1590088,841479,0,0,65.39,34.61,0.0,0.0,,
MD-GOV,governor,MD,GOV,2126834,1431094,695740,0,0,67.29,32.71,0.0,0.0,,
ME-GOV,governor,ME,GOV,581962,317067,264895,0,0,54.48,45.52,0.0,0.0,,
MI-GOV,governor,MI,GOV,3964262,2164631,1799630,0,0,54.6,45.4,0.0,0.0,,
MN-GOV,governor,MN,GOV,2277744,1233280,1044464,0,0,54.14,45.86,0.0,0.0,,
NE-GOV,governor,NE,GOV,663011,260113,402898,0,0,39.23,60.77,0.0,0.0,,
NH-GOV,governor,NH,GOV,578332,249536,328796,0,0,43.15,56.85,0.0,0.0,,
NM-GOV,governor,NM,GOV,646377,344962,301415,0,0,53.37,46.63,0.0,0.0,,
NV-GOV,governor,NV,GOV,1039067,533659,505409,0,0,51.36,48.64,0.0,0.0,,
NY-GOV,governor,NY,GOV,5813499,3283241,2530257,0,0,56.48,43.52,0.0,0.0,,
OH-GOV,governor,OH,GOV,4035512,1913789,2121723,0,0,47.42,52.58,0.0,0.0,,
OK-GOV,governor,OK,GOV,1096222,365327,730896,0,0,33.33,66.67,0.0,0.0,,
OR-GOV,governor,OR,GOV,1571774,824541,747234,0,0,52.46,47.54,0.0,0.0,,
PA-GOV,governor,PA,GOV,4923617,2802119,2121499,0,0,56.91,43.09,0.0,0.0,,
RI-GOV,governor,RI,GOV,359348,216319,143029,0,0,60.2,39.8,0.0,0.0,,
SC-GOV,governor,SC,GOV,1783698,767666,1016032,0,0,43.04,56.96,0.0,0.0,,
SD-GOV,governor,SD,GOV,298473,106618,191855,0,0,35.72,64.28,0.0,0.0,,
TN-GOV,governor,TN,GOV,2144759,836408,1308352,0,0,39.0,61.0,0.0,0.0,,
TX-GOV,governor,TX,GOV,7983170,3609860,4373310,0,0,45.22,54.78,0.0,0.0,,
VT-GOV,governor,VT,GOV,258595,93654,164942,0,0,36.22,63.78,0.0,0.0,,
WI-GOV,governor,WI,GOV,2396043,1280007,1116036,0,0,53.42,46.58,0.0,0.0,,
WY-GOV,governor,WY,GOV,188334,54633,133700,0,0,29.01,70.99,0.0,0.0,,
AK-SEN,senate,AK,SEN,236446,112146,120517,0,3783,47.43,50.97,0.0,1.6,,
AL-SEN,senate,AL,SEN,1585563,600445,985118,0,0,37.87,62.13,0.0,0.0,,
AR-SEN,senate,AR,SEN,839457,302667,536790,0,0,36.06,63.94,0.0,0.0,,
CO-SEN,senate,CO,SEN,2234922,1347450,887471,0,0,60.29,39.71,0.0,0.0,,
DE-SEN,senate,DE,SEN,357542,214766,142777,0,0,60.07,39.93,0.0,0.0,,
FL-SEN,senate,FL,SEN,7654826,3591607,4063219,0,0,46.92,53.08,0.0,0.0,,
GA-SEN,senate,GA,SEN,3675046,1983173,1691873,0,0,53.96,46.04,0.0,0.0,,
IA-SEN,senate,IA,SEN,1164454,531420,602409,0,30625,45.64,51.73,0.0,2.63,LIB,
ID-SEN,senate,ID,SEN,633543,193297,440246,0,0,30.51,69.49,0.0,0.0,,
IL-SEN,senate,IL,SEN,3954737,2329083,1625654,0,0,58.89,41.11,0.0,0.0,,
KS-SEN,senate,KS,SEN,929314,401161,528153,0,0,43.17,56.83,0.0,0.0,,
KY-SEN,senate,KY,SEN,1452169,512016,940153,0,0,35.26,64.74,0.0,0.0,,
LA-SEN,senate,LA,SEN,1404882,522833,882049,0,0,37.22,62.78,0.0,0.0,,
MA-SEN,senate,MA,SEN,2431568,1614359,817209,0,0,66.39,33.61,0.0,0.0,,
ME-SEN,senate,ME,SEN,581962,282789,293353,0,5820,48.59,50.41,0.0,1.0,,
MI-SEN,senate,MI,SEN,3964262,2062846,1901416,0,0,52.04,47.96,0.0,0.0,,
MN-SEN,senate,MN,SEN,2277744,1225832,1051912,0,0,53.82,46.18,0.0,0.0,,
MS-SEN,senate,MS,SEN,859605,360147,499458,0,0,41.9,58.1,0.0,0.0,,
MT-SEN,senate,MT,SEN,422074,52499,235411,118716,15448,12.44,55.77,28.13,3.66,IND,Seth Bodnar
NC-SEN,senate,NC,SEN,3987467,2033162,1879740,0,74566,50.99,47.14,0.0,1.87,GRN,
NE-SEN,senate,NE,SEN,663011,45101,348918,268992,0,6.8,52.63,40.57,0.0,IND,Dan Osborn
NH-SEN,senate,NH,SEN,578332,306529,271803,0,0,53.0,47.0,0.0,0.0,,
NJ-SEN,senate,NJ,SEN,2913686,1658221,1255465,0,0,56.91,43.09,0.0,0.0,,
NM-SEN,senate,NM,SEN,646377,371466,274911,0,0,57.47,42.53,0.0,0.0,,
OH-SEN,senate,OH,SEN,4035512,1914533,2057621,0,63358,47.44,50.99,0.0,1.57,LIB,
OK-SEN,senate,OK,SEN,1096222,356118,740104,0,0,32.49,67.51,0.0,0.0,,
OR-SEN,senate,OR,SEN,1571774,919582,652192,0,0,58.51,41.49,0.0,0.0,,
RI-SEN,senate,RI,SEN,359348,219122,140226,0,0,60.98,39.02,0.0,0.0,,
SC-SEN,senate,SC,SEN,1783698,796466,953877,0,33355,44.65,53.48,0.0,1.87,LIB,
SD-SEN,senate,SD,SEN,298473,104785,193688,0,0,35.11,64.89,0.0,0.0,,
TN-SEN,senate,TN,SEN,2144759,745207,1399552,0,0,34.75,65.25,0.0,0.0,,
TX-SEN,senate,TX,SEN,7983170,3802441,4020266,0,160462,47.63,50.36,0.0,2.01,LIB,
VA-SEN,senate,VA,SEN,3152302,1764699,1387602,0,0,55.98,44.02,0.0,0.0,,
WV-SEN,senate,WV,SEN,533673,154501,379172,0,0,28.95,71.05,0.0,0.0,,
WY-SEN,senate,WY,SEN,188334,53445,134888,0,0,28.38,71.62,0.0,0.0,,
AK-01,house,AK,01,236446,113387,119276,0,3783,47.95,50.45,0.0,1.6,,
AL-01,house,AL,01,229648,80814,148835,0,0,35.19,64.81,0.0,0.0,,
AL-02,house,AL,02,205222,97687,107534,0,0,47.6,52.4,0.0,0.0,,
AL-03,house,AL,03,221487,64075,157412,0,0,28.93,71.07,0.0,0.0,,
AL-04,house,AL,04,226703,42556,184147,0,0,18.77,81.23,0.0,0.0,,
AL-05,house,AL,05,247520,91943,155577,0,0,37.15,62.85,0.0,0.0,,
AL-06,house,AL,06,244631,85324,159307,0,0,34.88,65.12,0.0,0.0,,
AL-07,house,AL,07,210352,136472,73880,0,0,64.88,35.12,0.0,0.0,,
AR-01,house,AR,01,195826,53403,142423,0,0,27.27,72.73,0.0,0.0,,
AR-02,house,AR,02,225476,98345,127130,0,0,43.62,56.38,0.0,0.0,,
AR-03,house,AR,03,221598,80057,141541,0,0,36.13,63.87,0.0,0.0,,
AR-04,house,AR,04,196558,58839,137718,0,0,29.93,70.07,0.0,0.0,,
AZ-01,house,AZ,01,315514,160287,149295,0,5932,50.8,47.32,0.0,1.88,LIB,
AZ-02,house,AZ,02,291534,144860,146673,0,0,49.69,50.31,0.0,0.0,,
AZ-03,house,AZ,03,149255,119611,29644,0,0,80.14,19.86,0.0,0.0,,
AZ-04,house,AZ,04,243254,142457,100797,0,0,58.56,41.44,0.0,0.0,,
AZ-05,house,AZ,05,311518,134601,176916,0,0,43.21,56.79,0.0,0.0,,
AZ-06,house,AZ,06,308122,159081,142509,0,6532,51.63,46.25,0.0,2.12,LIB,
AZ-07,house,AZ,07,197180,135493,61687,0,0,68.72,31.28,0.0,0.0,,
AZ-08,house,AZ,08,274416,122540,151876,0,0,44.65,55.35,0.0,0.0,,
AZ-09,house,AZ,09,281730,106545,175185,0,0,37.82,62.18,0.0,0.0,,
CA-01,house,CA,01,239151,142943,96208,0,0,59.77,40.23,0.0,0.0,,
CA-02,house,CA,02,272520,179447,93074,0,0,65.85,34.15,0.0,0.0,,
CA-03,house,CA,03,256644,148347,108297,0,0,57.8,42.2,0.0,0.0,,
CA-04,house,CA,04,240754,151237,89517,0,0,62.82,37.18,0.0,0.0,,
CA-05,house,CA,05,253723,103242,150481,0,0,40.69,59.31,0.0,0.0,,
CA-06,house,CA,06,235441,129407,106034,0,0,54.96,45.04,0.0,0.0,,
CA-07,house,CA,07,242835,150860,91975,0,0,62.12,37.88,0.0,0.0,,
CA-08,house,CA,08,218644,160201,58443,0,0,73.27,26.73,0.0,0.0,,
CA-09,house,CA,09,187940,119510,68430,0,0,63.59,36.41,0.0,0.0,,
CA-10,house,CA,10,264480,187223,77257,0,0,70.79,29.21,0.0,0.0,,
CA-11,house,CA,11,252827,224161,28665,0,0,88.66,11.34,0.0,0.0,,
CA-12,house,CA,12,222860,222860,0,0,0,100.0,0.0,0.0,0.0,,
CA-13,house,CA,13,145569,88443,57126,0,0,60.76,39.24,0.0,0.0,,
CA-14,house,CA,14,199910,144594,55316,0,0,72.33,27.67,0.0,0.0,,
CA-15,house,CA,15,213889,168009,45880,0,0,78.55,21.45,0.0,0.0,,
CA-16,house,CA,16,238075,188477,49598,0,0,79.17,20.83,0.0,0.0,,
CA-17,house,CA,17,184966,132893,52073,0,0,71.85,28.15,0.0,0.0,,
CA-18,house,CA,18,166214,118268,47945,0,0,71.15,28.85,0.0,0.0,,
CA-19,house,CA,19,263484,184925,68915,0,9644,70.18,26.16,0.0,3.66,GRN,
CA-20,house,CA,20,220803,80937,139866,0,0,36.66,63.34,0.0,0.0,,
CA-21,house,CA,21,141263,85022,56241,0,0,60.19,39.81,0.0,0.0,,
CA-22,house,CA,22,119812,63840,55972,0,0,53.28,46.72,0.0,0.0,,
CA-23,house,CA,23,193594,82464,111130,0,0,42.6,57.4,0.0,0.0,,
CA-24,house,CA,24,245955,165672,80283,0,0,67.36,32.64,0.0,0.0,,
CA-25,house,CA,25,189057,111500,77557,0,0,58.98,41.02,0.0,0.0,,
CA-26,house,CA,26,240362,149969,90392,0,0,62.39,37.61,0.0,0.0,,
CA-27,house,CA,27,207250,129436,77814,0,0,62.45,37.55,0.0,0.0,,
CA-28,house,CA,28,228743,156143,72600,0,0,68.26,31.74,0.0,0.0,,
CA-29,house,CA,29,167318,128648,38670,0,0,76.89,23.11,0.0,0.0,,
CA-30,house,CA,30,239051,178177,60874,0,0,74.54,25.46,0.0,0.0,,
CA-31,house,CA,31,204348,115706,88642,0,0,56.62,43.38,0.0,0.0,,
CA-32,house,CA,32,251770,170842,80928,0,0,67.86,32.14,0.0,0.0,,
CA-33,house,CA,33,173868,111914,61954,0,0,64.37,35.63,0.0,0.0,,
CA-34,house,CA,34,150165,150165,0,0,0,100.0,0.0,0.0,0.0,,
CA-35,house,CA,35,182276,113438,68838,0,0,62.23,37.77,0.0,0.0,,
CA-36,house,CA,36,269925,198359,71566,0,0,73.49,26.51,0.0,0.0,,
CA-37,house,CA,37,164586,145608,18978,0,0,88.47,11.53,0.0,0.0,,
CA-38,house,CA,38,183185,115605,67580,0,0,63.11,36.89,0.0,0.0,,
CA-39,house,CA,39,164585,103437,61148,0,0,62.85,37.15,0.0,0.0,,
CA-40,house,CA,40,266738,0,266738,0,0,0.0,100.0,0.0,0.0,,
CA-41,house,CA,41,217554,140275,77278,0,0,64.48,35.52,0.0,0.0,,
CA-42,house,CA,42,244759,151411,93348,0,0,61.86,38.14,0.0,0.0,,
CA-43,house,CA,43,156374,128196,28178,0,0,81.98,18.02,0.0,0.0,,
CA-44,house,CA,44,153833,121368,32465,0,0,78.9,21.1,0.0,0.0,,
CA-45,house,CA,45,210230,124260,85969,0,0,59.11,40.89,0.0,0.0,,
CA-46,house,CA,46,159271,110023,49248,0,0,69.08,30.92,0.0,0.0,,
CA-47,house,CA,47,250428,144957,96430,0,9040,57.88,38.51,0.0,3.61,LIB,
CA-48,house,CA,48,229638,126277,103361,0,0,54.99,45.01,0.0,0.0,,
CA-49,house,CA,49,271831,160635,111196,0,0,59.09,40.91,0.0,0.0,,
CA-50,house,CA,50,260226,162466,97760,0,0,62.43,37.57,0.0,0.0,,
CA-51,house,CA,51,248947,157454,91493,0,0,63.25,36.75,0.0,0.0,,
CA-52,house,CA,52,190877,132140,58737,0,0,69.23,30.77,0.0,0.0,,
CO-01,house,CO,01,256448,215327,41121,0,0,83.97,16.03,0.0,0.0,,
CO-02,house,CO,02,302356,226061,76295,0,0,74.77,25.23,0.0,0.0,,
CO-03,house,CO,03,284736,137366,147370,0,0,48.24,51.76,0.0,0.0,,
CO-04,house,CO,04,323105,145911,177194,0,0,45.16,54.84,0.0,0.0,,
CO-05,house,CO,05,262831,119830,143001,0,0,45.59,54.41,0.0,0.0,,
