race_code,cand_id,name,party,slot,incumbent,first_pct,final_pct,win_prob,won
AK-GOV,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,0,45.7,56.07,88.7,1
AK-GOV,C-0074,Bernadette Wilson,REP,rep,0,21.38,43.93,8.5,0
AK-GOV,C-1061,Dave Bronson,REP,,0,17.32,0.0,1.5,0
AK-GOV,C-1068,Treg Taylor,REP,,0,15.61,0.0,1.4,0
AK-SEN,C-0001,Mary Peltola,DEM,dem,0,47.86,49.52,46.7,0
AK-SEN,C-0002,Dan S. Sullivan,REP,rep,1,48.47,50.48,53.3,1
AK-SEN,C-1062,Daniel J. Sullivan Jr.,NPA,,0,2.5,0.0,0.0,0
AK-SEN,C-1066,Gerald L. Heikes,REP,,0,1.17,0.0,0.0,0
ME-SEN,C-1043,Troy Jackson,DEM,dem,0,50.44,50.44,54.8,1
ME-SEN,C-0030,Susan Collins,REP,rep,1,49.56,49.56,45.2,0
AK-01,C-0145,Nick Begich III,REP,rep,1,49.72,51.27,60.6,1
AK-01,C-1013,Bill Hill,IND,ind,0,45.28,48.73,39.4,0
AK-01,C-1063,Eric Hafner,DEM,,0,3.8,0.0,0.0,0
AK-01,C-1071,"James C. ""Jim"" McDermott",LIB,,0,1.2,0.0,0.0,0
ME-01,C-0535,Chellie Pingree,DEM,dem,1,65.72,65.72,99.9,1
ME-01,C-0536,Ronald Russell,REP,rep,0,34.28,34.28,0.1,0
ME-02,C-0537,Matthew Dunlap,DEM,dem,0,47.71,47.71,31.9,0
ME-02,C-0538,Paul LePage,REP,rep,0,52.29,52.29,68.1,1
