race_code,cand_id,name,party,slot,incumbent,first_pct,final_pct,win_prob,won
AK-GOV,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,0,47.66,57.76,95.9,1
AK-GOV,C-0074,Bernadette Wilson,REP,rep,0,20.61,42.24,4.1,0
AK-GOV,C-1061,Dave Bronson,REP,,0,16.69,0.0,0.0,0
AK-GOV,C-1068,Treg Taylor,REP,,0,15.04,0.0,0.0,0
AK-SEN,C-0001,Mary Peltola,DEM,dem,0,48.67,50.34,54.2,1
AK-SEN,C-0002,Dan S. Sullivan,REP,rep,1,47.68,49.66,45.8,0
AK-SEN,C-1062,Daniel J. Sullivan Jr.,NPA,,0,2.5,0.0,0.0,0
AK-SEN,C-1066,Gerald L. Heikes,REP,,0,1.15,0.0,0.0,0
ME-SEN,C-1043,Troy Jackson,DEM,dem,0,50.71,50.71,57.8,1
ME-SEN,C-0030,Susan Collins,REP,rep,1,49.29,49.29,42.2,0
AK-01,C-0145,Nick Begich III,REP,rep,1,49.33,50.95,59.2,1
AK-01,C-1013,Bill Hill,IND,ind,0,45.67,49.05,40.8,0
AK-01,C-1063,Eric Hafner,DEM,,0,3.8,0.0,0.0,0
AK-01,C-1071,"James C. ""Jim"" McDermott",LIB,,0,1.2,0.0,0.0,0
ME-01,C-0535,Chellie Pingree,DEM,dem,1,66.26,66.26,99.9,1
ME-01,C-0536,Ronald Russell,REP,rep,0,33.74,33.74,0.1,0
ME-02,C-0537,Matthew Dunlap,DEM,dem,0,48.32,48.32,34.9,0
ME-02,C-0538,Paul LePage,REP,rep,0,51.68,51.68,65.1,1
