race_code,race_type,state,district,total_votes,dem_votes,rep_votes,ind_votes,oth_votes,dem_pct,rep_pct,ind_pct,oth_pct,oth_party,ind_name
AK-GOV,governor,AK,GOV,236446,101601,115929,0,18916,42.97,49.03,0.0,8.0,,
AL-GOV,governor,AL,GOV,1585563,628735,956828,0,0,39.65,60.35,0.0,0.0,,
AR-GOV,governor,AR,GOV,839457,310209,529248,0,0,36.95,63.05,0.0,0.0,,
AZ-GOV,governor,AZ,GOV,2372523,1278965,1093558,0,0,53.91,46.09,0.0,0.0,,
CA-GOV,governor,CA,GOV,11098543,7123034,3975510,0,0,64.18,35.82,0.0,0.0,,
CO-GOV,governor,CO,GOV,2234922,1267792,886672,80457,0,56.73,39.67,3.6,0.0,IND,Greg Lopez
CT-GOV,governor,CT,GOV,1231140,731836,499304,0,0,59.44,40.56,0.0,0.0,,
FL-GOV,governor,FL,GOV,7654826,3572994,4081833,0,0,46.68,53.32,0.0,0.0,,
GA-GOV,governor,GA,GOV,3675046,1866053,1808993,0,0,50.78,49.22,0.0,0.0,,
HI-GOV,governor,HI,GOV,361691,238877,122813,0,0,66.04,33.96,0.0,0.0,,
IA-GOV,governor,IA,GOV,1164454,616522,547932,0,0,52.95,47.05,0.0,0.0,,
ID-GOV,governor,ID,GOV,633543,171735,461808,0,0,27.11,72.89,0.0,0.0,,
IL-GOV,governor,IL,GOV,3954737,2371827,1582910,0,0,59.97,40.03,0.0,0.0,,
KS-GOV,governor,KS,GOV,929314,410322,518992,0,0,44.15,55.85,0.0,0.0,,
MA-GOV,governor,MA,GOV,2431568,1597035,834533,0,0,65.68,34.32,0.0,0.0,,
MD-GOV,governor,MD,GOV,2126834,1449751,677082,0,0,68.16,31.84,0.0,0.0,,
ME-GOV,governor,ME,GOV,581962,321878,253450,6634,0,55.31,43.55,1.14,0.0,IND,Rick Bennett
MI-GOV,governor,MI,GOV,3964262,2228587,1735675,0,0,56.22,43.78,0.0,0.0,,
MN-GOV,governor,MN,GOV,2277744,1272023,1005721,0,0,55.85,44.15,0.0,0.0,,
NE-GOV,governor,NE,GOV,663011,251300,332150,79561,0,37.9,50.1,12.0,0.0,IND,Brett Lindstrom
NH-GOV,governor,NH,GOV,578332,254805,323527,0,0,44.06,55.94,0.0,0.0,,
NM-GOV,governor,NM,GOV,646377,350082,296295,0,0,54.16,45.84,0.0,0.0,,
NV-GOV,governor,NV,GOV,1039067,537352,501716,0,0,51.71,48.29,0.0,0.0,,
NY-GOV,governor,NY,GOV,5813499,3308358,2505140,0,0,56.91,43.09,0.0,0.0,,
OH-GOV,governor,OH,GOV,4035512,1925038,2110473,0,0,47.7,52.3,0.0,0.0,,
OK-GOV,governor,OK,GOV,1096222,377645,718577,0,0,34.45,65.55,0.0,0.0,,
OR-GOV,governor,OR,GOV,1571774,829814,741961,0,0,52.79,47.21,0.0,0.0,,
PA-GOV,governor,PA,GOV,4923617,2875883,2047734,0,0,58.41,41.59,0.0,0.0,,
RI-GOV,governor,RI,GOV,359348,215988,143359,0,0,60.11,39.89,0.0,0.0,,
SC-GOV,governor,SC,GOV,1783698,800042,983656,0,0,44.85,55.15,0.0,0.0,,
SD-GOV,governor,SD,GOV,298473,111527,186946,0,0,37.37,62.63,0.0,0.0,,
TN-GOV,governor,TN,GOV,2144759,849240,1295519,0,0,39.6,60.4,0.0,0.0,,
TX-GOV,governor,TX,GOV,7983170,3618796,4364373,0,0,45.33,54.67,0.0,0.0,,
VT-GOV,governor,VT,GOV,258595,100034,158561,0,0,38.68,61.32,0.0,0.0,,
WI-GOV,governor,WI,GOV,2396043,1237868,1158175,0,0,51.66,48.34,0.0,0.0,,
WY-GOV,governor,WY,GOV,188334,56743,131590,0,0,30.13,69.87,0.0,0.0,,
AK-SEN,senate,AK,SEN,236446,106590,110940,0,18916,45.08,46.92,0.0,8.0,,
AL-SEN,senate,AL,SEN,1585563,596926,988637,0,0,37.65,62.35,0.0,0.0,,
AR-SEN,senate,AR,SEN,839457,311058,528399,0,0,37.05,62.95,0.0,0.0,,
CO-SEN,senate,CO,SEN,2234922,1392585,842337,0,0,62.31,37.69,0.0,0.0,,
DE-SEN,senate,DE,SEN,357542,223001,134541,0,0,62.37,37.63,0.0,0.0,,
FL-SEN,senate,FL,SEN,7654826,3630118,4024709,0,0,47.42,52.58,0.0,0.0,,
GA-SEN,senate,GA,SEN,3675046,2062156,1612890,0,0,56.11,43.89,0.0,0.0,,
IA-SEN,senate,IA,SEN,1164454,553172,580657,0,30625,47.5,49.87,0.0,2.63,LIB,
ID-SEN,senate,ID,SEN,633543,177836,411359,44348,0,28.07,64.93,7.0,0.0,IND,Todd Achilles
