race_code,race_type,state,district,total_votes,dem_votes,rep_votes,ind_votes,oth_votes,dem_pct,rep_pct,ind_pct,oth_pct,oth_party,ind_name
AK-GOV,governor,AK,GOV,236446,111353,121310,0,3783,47.09,51.31,0.0,1.6,,
AL-GOV,governor,AL,GOV,1585563,615748,969815,0,0,38.83,61.17,0.0,0.0,,
AR-GOV,governor,AR,GOV,839457,304831,534625,0,0,36.31,63.69,0.0,0.0,,
AZ-GOV,governor,AZ,GOV,2372523,1250635,1121888,0,0,52.71,47.29,0.0,0.0,,
CA-GOV,governor,CA,GOV,11098543,7023825,4074719,0,0,63.29,36.71,0.0,0.0,,
CO-GOV,governor,CO,GOV,2234922,1333110,901812,0,0,59.65,40.35,0.0,0.0,,
CT-GOV,governor,CT,GOV,1231140,717680,513459,0,0,58.29,41.71,0.0,0.0,,
FL-GOV,governor,FL,GOV,7654826,3525263,4129563,0,0,46.05,53.95,0.0,0.0,,
GA-GOV,governor,GA,GOV,3675046,1758223,1916823,0,0,47.84,52.16,0.0,0.0,,
HI-GOV,governor,HI,GOV,361691,236265,125425,0,0,65.32,34.68,0.0,0.0,,
IA-GOV,governor,IA,GOV,1164454,593945,570509,0,0,51.01,48.99,0.0,0.0,,
ID-GOV,governor,ID,GOV,633543,172981,460562,0,0,27.3,72.7,0.0,0.0,,
IL-GOV,governor,IL,GOV,3954737,2308888,1645848,0,0,58.38,41.62,0.0,0.0,,
KS-GOV,governor,KS,GOV,929314,395601,533712,0,0,42.57,57.43,0.0,0.0,,
MA-GOV,governor,MA,GOV,2431568,1586954,844614,0,0,65.26,34.74,0.0,0.0,,
MD-GOV,governor,MD,GOV,2126834,1431004,695830,0,0,67.28,32.72,0.0,0.0,,
ME-GOV,governor,ME,GOV,581962,322247,259716,0,0,55.37,44.63,0.0,0.0,,
MI-GOV,governor,MI,GOV,3964262,2181163,1783099,0,0,55.02,44.98,0.0,0.0,,
MN-GOV,governor,MN,GOV,2277744,1228041,1049703,0,0,53.91,46.09,0.0,0.0,,
NE-GOV,governor,NE,GOV,663011,262732,400279,0,0,39.63,60.37,0.0,0.0,,
NH-GOV,governor,NH,GOV,578332,253321,325011,0,0,43.8,56.2,0.0,0.0,,
