race_code,cand_id,name,party,slot,incumbent,first_pct,final_pct,win_prob,won
AK-GOV,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,0,45.77,56.14,89.6,1
AK-GOV,C-0074,Bernadette Wilson,REP,rep,0,21.35,43.86,7.7,0
AK-GOV,C-1061,Dave Bronson,REP,,0,17.29,0.0,1.4,0
AK-GOV,C-1068,Treg Taylor,REP,,0,15.59,0.0,1.2,0
AK-SEN,C-0001,Mary Peltola,DEM,dem,0,47.93,49.59,47.1,0
AK-SEN,C-0002,Dan S. Sullivan,REP,rep,1,48.41,50.41,52.9,1
AK-SEN,C-1062,Daniel J. Sullivan Jr.,NPA,,0,2.5,0.0,0.0,0
AK-SEN,C-1066,Gerald L. Heikes,REP,,0,1.17,0.0,0.0,0
ME-SEN,C-1043,Troy Jackson,DEM,dem,0,50.53,50.53,55.0,1
ME-SEN,C-0030,Susan Collins,REP,rep,1,49.47,49.47,45.0,0
AK-01,C-0145,Nick Begich III,REP,rep,1,49.66,51.21,60.5,1
AK-01,C-1013,Bill Hill,IND,ind,0,45.34,48.79,39.5,0
AK-01,C-1063,Eric Hafner,DEM,,0,3.8,0.0,0.0,0
AK-01,C-1071,"James C. ""Jim"" McDermott",LIB,,0,1.2,0.0,0.0,0
ME-01,C-0535,Chellie Pingree,DEM,dem,1,65.82,65.82,99.9,1
ME-01,C-0536,Ronald Russell,REP,rep,0,34.18,34.18,0.1,0
ME-02,C-0537,Matthew Dunlap,DEM,dem,0,47.83,47.83,32.8,0
ME-02,C-0538,Paul LePage,REP,rep,0,52.17,52.17,67.2,1
