race_code,race_type,state,district,total_votes,dem_votes,rep_votes,ind_votes,oth_votes,dem_pct,rep_pct,ind_pct,oth_pct,oth_party,ind_name
AK-GOV,governor,AK,GOV,236446,104502,128161,0,3783,44.2,54.2,0.0,1.6,,
AL-GOV,governor,AL,GOV,1585563,618439,967124,0,0,39.0,61.0,0.0,0.0,,
AR-GOV,governor,AR,GOV,839457,304160,535297,0,0,36.23,63.77,0.0,0.0,,
AZ-GOV,governor,AZ,GOV,2372523,1254996,1117527,0,0,52.9,47.1,0.0,0.0,,
CA-GOV,governor,CA,GOV,11098543,7092636,4005908,0,0,63.91,36.09,0.0,0.0,,
CO-GOV,governor,CO,GOV,2234922,1336339,898582,0,0,59.79,40.21,0.0,0.0,,
CT-GOV,governor,CT,GOV,1231140,728610,502530,0,0,59.18,40.82,0.0,0.0,,
FL-GOV,governor,FL,GOV,7654826,3585287,4069539,0,0,46.84,53.16,0.0,0.0,,
GA-GOV,governor,GA,GOV,3675046,1870006,1805040,0,0,50.88,49.12,0.0,0.0,,
HI-GOV,governor,HI,GOV,361691,236066,125624,0,0,65.27,34.73,0.0,0.0,,
IA-GOV,governor,IA,GOV,1164454,591849,572605,0,0,50.83,49.17,0.0,0.0,,
ID-GOV,governor,ID,GOV,633543,172538,461005,0,0,27.23,72.77,0.0,0.0,,
IL-GOV,governor,IL,GOV,3954737,2314771,1639966,0,0,58.53,41.47,0.0,0.0,,
KS-GOV,governor,KS,GOV,929314,403810,525503,0,0,43.45,56.55,0.0,0.0,,
MA-GOV,governor,MA,GOV,2431568,1598565,833003,0,0,65.74,34.26,0.0,0.0,,
MD-GOV,governor,MD,GOV,2126834,1436013,690821,0,0,67.52,32.48,0.0,0.0,,
ME-GOV,governor,ME,GOV,581962,320442,261520,0,0,55.06,44.94,0.0,0.0,,
MI-GOV,governor,MI,GOV,3964262,2189471,1774791,0,0,55.23,44.77,0.0,0.0,,
MN-GOV,governor,MN,GOV,2277744,1226520,1051224,0,0,53.85,46.15,0.0,0.0,,
NE-GOV,governor,NE,GOV,663011,262301,400710,0,0,39.56,60.44,0.0,0.0,,
NH-GOV,governor,NH,GOV,578332,253230,325102,0,0,43.79,56.21,0.0,0.0,,
NM-GOV,governor,NM,GOV,646377,341892,304485,0,0,52.89,47.11,0.0,0.0,,
NV-GOV,governor,NV,GOV,1039067,532169,506899,0,0,51.22,48.78,0.0,0.0,,
NY-GOV,governor,NY,GOV,5813499,3284166,2529333,0,0,56.49,43.51,0.0,0.0,,
OH-GOV,governor,OH,GOV,4035512,1933561,2101951,0,0,47.91,52.09,0.0,0.0,,
OK-GOV,governor,OK,GOV,1096222,370095,726127,0,0,33.76,66.24,0.0,0.0,,
OR-GOV,governor,OR,GOV,1571774,826458,745316,0,0,52.58,47.42,0.0,0.0,,
PA-GOV,governor,PA,GOV,4923617,2821343,2102275,0,0,57.3,42.7,0.0,0.0,,
RI-GOV,governor,RI,GOV,359348,216983,142364,0,0,60.38,39.62,0.0,0.0,,
SC-GOV,governor,SC,GOV,1783698,772838,1010860,0,0,43.33,56.67,0.0,0.0,,
SD-GOV,governor,SD,GOV,298473,108394,190079,0,0,36.32,63.68,0.0,0.0,,
TN-GOV,governor,TN,GOV,2144759,842810,1301950,0,0,39.3,60.7,0.0,0.0,,
TX-GOV,governor,TX,GOV,7983170,3588272,4394898,0,0,44.95,55.05,0.0,0.0,,
VT-GOV,governor,VT,GOV,258595,95128,163468,0,0,36.79,63.21,0.0,0.0,,
WI-GOV,governor,WI,GOV,2396043,1294724,1101318,0,0,54.04,45.96,0.0,0.0,,
WY-GOV,governor,WY,GOV,188334,55405,132928,0,0,29.42,70.58,0.0,0.0,,
AK-SEN,senate,AK,SEN,236446,112356,120307,0,3783,47.52,50.88,0.0,1.6,,
AL-SEN,senate,AL,SEN,1585563,588566,996997,0,0,37.12,62.88,0.0,0.0,,
AR-SEN,senate,AR,SEN,839457,304416,535040,0,0,36.26,63.74,0.0,0.0,,
CO-SEN,senate,CO,SEN,2234922,1387005,847917,0,0,62.06,37.94,0.0,0.0,,
DE-SEN,senate,DE,SEN,357542,220664,136878,0,0,61.72,38.28,0.0,0.0,,
FL-SEN,senate,FL,SEN,7654826,3578505,4076322,0,0,46.75,53.25,0.0,0.0,,
GA-SEN,senate,GA,SEN,3675046,2019549,1655497,0,0,54.95,45.05,0.0,0.0,,
IA-SEN,senate,IA,SEN,1164454,548790,585039,0,30625,47.13,50.24,0.0,2.63,LIB,
ID-SEN,senate,ID,SEN,633543,186670,446873,0,0,29.46,70.54,0.0,0.0,,
IL-SEN,senate,IL,SEN,3954737,2343734,1611003,0,0,59.26,40.74,0.0,0.0,,
KS-SEN,senate,KS,SEN,929314,393865,535449,0,0,42.38,57.62,0.0,0.0,,
KY-SEN,senate,KY,SEN,1452169,498911,953258,0,0,34.36,65.64,0.0,0.0,,
LA-SEN,senate,LA,SEN,1404882,512347,892536,0,0,36.47,63.53,0.0,0.0,,
MA-SEN,senate,MA,SEN,2431568,1623972,807596,0,0,66.79,33.21,0.0,0.0,,
ME-SEN,senate,ME,SEN,581962,289094,287049,0,5820,49.68,49.32,0.0,1.0,,
MI-SEN,senate,MI,SEN,3964262,2072890,1891372,0,0,52.29,47.71,0.0,0.0,,
MN-SEN,senate,MN,SEN,2277744,1231131,1046613,0,0,54.05,45.95,0.0,0.0,,
MS-SEN,senate,MS,SEN,859605,360219,499386,0,0,41.91,58.09,0.0,0.0,,
MT-SEN,senate,MT,SEN,422074,54211,227342,125073,15448,12.84,53.86,29.63,3.66,IND,Seth Bodnar
NC-SEN,senate,NC,SEN,3987467,2054028,1858874,0,74566,51.51,46.62,0.0,1.87,GRN,
NE-SEN,senate,NE,SEN,663011,0,361913,301098,0,0.0,54.59,45.41,0.0,IND,Dan Osborn
NH-SEN,senate,NH,SEN,578332,313195,265137,0,0,54.15,45.85,0.0,0.0,,
NJ-SEN,senate,NJ,SEN,2913686,1719101,1194586,0,0,59.0,41.0,0.0,0.0,,
NM-SEN,senate,NM,SEN,646377,377613,268764,0,0,58.42,41.58,0.0,0.0,,
OH-SEN,senate,OH,SEN,4035512,1948944,2023211,0,63358,48.29,50.14,0.0,1.57,LIB,
OK-SEN,senate,OK,SEN,1096222,348121,748101,0,0,31.76,68.24,0.0,0.0,,
OR-SEN,senate,OR,SEN,1571774,946927,624847,0,0,60.25,39.75,0.0,0.0,,
RI-SEN,senate,RI,SEN,359348,223506,135842,0,0,62.2,37.8,0.0,0.0,,
SC-SEN,senate,SC,SEN,1783698,798468,951875,0,33355,44.76,53.37,0.0,1.87,LIB,
SD-SEN,senate,SD,SEN,298473,103765,194708,0,0,34.77,65.23,0.0,0.0,,
TN-SEN,senate,TN,SEN,2144759,716239,1428520,0,0,33.39,66.61,0.0,0.0,,
TX-SEN,senate,TX,SEN,7983170,3823988,3998720,0,160462,47.9,50.09,0.0,2.01,LIB,
VA-SEN,senate,VA,SEN,3152302,1834667,1317634,0,0,58.2,41.8,0.0,0.0,,
WV-SEN,senate,WV,SEN,533673,149458,384215,0,0,28.01,71.99,0.0,0.0,,
WY-SEN,senate,WY,SEN,188334,52085,136249,0,0,27.66,72.34,0.0,0.0,,
AK-01,house,AK,01,236446,105560,127103,0,3783,44.64,53.76,0.0,1.6,,Bill Hill
AL-01,house,AL,01,229648,82030,147618,0,0,35.72,64.28,0.0,0.0,,
AL-02,house,AL,02,205222,98989,106232,0,0,48.24,51.76,0.0,0.0,,
AL-03,house,AL,03,221487,62306,159181,0,0,28.13,71.87,0.0,0.0,,
AL-04,house,AL,04,226703,41173,185530,0,0,18.16,81.84,0.0,0.0,,
AL-05,house,AL,05,247520,91840,155680,0,0,37.1,62.9,0.0,0.0,,
AL-06,house,AL,06,244631,83767,160864,0,0,34.24,65.76,0.0,0.0,,
AL-07,house,AL,07,210352,139417,70935,0,0,66.28,33.72,0.0,0.0,,
AR-01,house,AR,01,195826,52823,143003,0,0,26.97,73.03,0.0,0.0,,
AR-02,house,AR,02,225476,98117,127359,0,0,43.52,56.48,0.0,0.0,,
AR-03,house,AR,03,221598,78855,142743,0,0,35.58,64.42,0.0,0.0,,
AR-04,house,AR,04,196558,56899,139659,0,0,28.95,71.05,0.0,0.0,,
AZ-01,house,AZ,01,315514,162422,147160,0,5932,51.48,46.64,0.0,1.88,LIB,
AZ-02,house,AZ,02,291534,144734,146800,0,0,49.65,50.35,0.0,0.0,,
AZ-03,house,AZ,03,149255,119921,29335,0,0,80.35,19.65,0.0,0.0,,
AZ-04,house,AZ,04,243254,143459,99796,0,0,58.97,41.03,0.0,0.0,,
AZ-05,house,AZ,05,311518,132445,179072,0,0,42.52,57.48,0.0,0.0,,
AZ-06,house,AZ,06,308122,157551,144040,0,6532,51.13,46.75,0.0,2.12,LIB,
AZ-07,house,AZ,07,197180,135280,61900,0,0,68.61,31.39,0.0,0.0,,
AZ-08,house,AZ,08,274416,121280,153136,0,0,44.2,55.8,0.0,0.0,,
AZ-09,house,AZ,09,281730,105891,175839,0,0,37.59,62.41,0.0,0.0,,
CA-01,house,CA,01,239151,143097,96054,0,0,59.84,40.16,0.0,0.0,,
CA-02,house,CA,02,272520,183014,89506,0,0,67.16,32.84,0.0,0.0,,
CA-03,house,CA,03,256644,153824,102820,0,0,59.94,40.06,0.0,0.0,,
CA-04,house,CA,04,240754,153552,87201,0,0,63.78,36.22,0.0,0.0,,
CA-05,house,CA,05,253723,101961,151762,0,0,40.19,59.81,0.0,0.0,,
CA-06,house,CA,06,235441,130143,105298,0,0,55.28,44.72,0.0,0.0,,
CA-07,house,CA,07,242835,154428,88407,0,0,63.59,36.41,0.0,0.0,,
CA-08,house,CA,08,218644,161317,57327,0,0,73.78,26.22,0.0,0.0,,
CA-09,house,CA,09,187940,121410,66530,0,0,64.6,35.4,0.0,0.0,,
CA-10,house,CA,10,264480,189728,74753,0,0,71.74,28.26,0.0,0.0,,
CA-11,house,CA,11,252827,228716,24110,0,0,90.46,9.54,0.0,0.0,,
CA-12,house,CA,12,222860,222860,0,0,0,100.0,0.0,0.0,0.0,,
CA-13,house,CA,13,145569,89266,56303,0,0,61.32,38.68,0.0,0.0,,
CA-14,house,CA,14,199910,145892,54018,0,0,72.98,27.02,0.0,0.0,,
CA-15,house,CA,15,213889,169930,43959,0,0,79.45,20.55,0.0,0.0,,
CA-16,house,CA,16,238075,192362,45713,0,0,80.8,19.2,0.0,0.0,,
CA-17,house,CA,17,184966,136612,48354,0,0,73.86,26.14,0.0,0.0,,
CA-18,house,CA,18,166214,118337,47876,0,0,71.2,28.8,0.0,0.0,,
CA-19,house,CA,19,263484,187688,66153,0,9644,71.23,25.11,0.0,3.66,GRN,
CA-20,house,CA,20,220803,77415,143388,0,0,35.06,64.94,0.0,0.0,,
CA-21,house,CA,21,141263,84190,57073,0,0,59.6,40.4,0.0,0.0,,
CA-22,house,CA,22,119812,62387,57425,0,0,52.07,47.93,0.0,0.0,,
CA-23,house,CA,23,193594,79717,113877,0,0,41.18,58.82,0.0,0.0,,
CA-24,house,CA,24,245955,166527,79429,0,0,67.71,32.29,0.0,0.0,,
CA-25,house,CA,25,189057,110189,78867,0,0,58.28,41.72,0.0,0.0,,
CA-26,house,CA,26,240362,149478,90883,0,0,62.19,37.81,0.0,0.0,,
CA-27,house,CA,27,207250,129825,77425,0,0,62.64,37.36,0.0,0.0,,
CA-28,house,CA,28,228743,158282,70462,0,0,69.2,30.8,0.0,0.0,,
CA-29,house,CA,29,167318,128504,38813,0,0,76.8,23.2,0.0,0.0,,
CA-30,house,CA,30,239051,179787,59263,0,0,75.21,24.79,0.0,0.0,,
CA-31,house,CA,31,204348,115224,89124,0,0,56.39,43.61,0.0,0.0,,
CA-32,house,CA,32,251770,173828,77942,0,0,69.04,30.96,0.0,0.0,,
CA-33,house,CA,33,173868,113032,60836,0,0,65.01,34.99,0.0,0.0,,
CA-34,house,CA,34,150165,150165,0,0,0,100.0,0.0,0.0,0.0,,
CA-35,house,CA,35,182276,113445,68831,0,0,62.24,37.76,0.0,0.0,,
CA-36,house,CA,36,269925,201994,67930,0,0,74.83,25.17,0.0,0.0,,
CA-37,house,CA,37,164586,145869,18717,0,0,88.63,11.37,0.0,0.0,,
CA-38,house,CA,38,183185,115945,67240,0,0,63.29,36.71,0.0,0.0,,
CA-39,house,CA,39,164585,103402,61184,0,0,62.83,37.17,0.0,0.0,,
CA-40,house,CA,40,266738,0,266738,0,0,0.0,100.0,0.0,0.0,,
CA-41,house,CA,41,217554,140831,76723,0,0,64.73,35.27,0.0,0.0,,
CA-42,house,CA,42,244759,152734,92026,0,0,62.4,37.6,0.0,0.0,,
CA-43,house,CA,43,156374,128165,28209,0,0,81.96,18.04,0.0,0.0,,
CA-44,house,CA,44,153833,120809,33023,0,0,78.53,21.47,0.0,0.0,,
CA-45,house,CA,45,210230,124945,85284,0,0,59.43,40.57,0.0,0.0,,
CA-46,house,CA,46,159271,109740,49531,0,0,68.9,31.1,0.0,0.0,,
CA-47,house,CA,47,250428,147234,94153,0,9040,58.79,37.6,0.0,3.61,LIB,
CA-48,house,CA,48,229638,126365,103273,0,0,55.03,44.97,0.0,0.0,,
CA-49,house,CA,49,271831,164394,107437,0,0,60.48,39.52,0.0,0.0,,
CA-50,house,CA,50,260226,166047,94179,0,0,63.81,36.19,0.0,0.0,,
CA-51,house,CA,51,248947,160304,88643,0,0,64.39,35.61,0.0,0.0,,
CA-52,house,CA,52,190877,131668,59209,0,0,68.98,31.02,0.0,0.0,,
CO-01,house,CO,01,256448,218975,37473,0,0,85.39,14.61,0.0,0.0,,
CO-02,house,CO,02,302356,232389,69967,0,0,76.86,23.14,0.0,0.0,,
CO-03,house,CO,03,284736,138197,146539,0,0,48.53,51.47,0.0,0.0,,
CO-04,house,CO,04,323105,150862,172243,0,0,46.69,53.31,0.0,0.0,,
CO-05,house,CO,05,262831,120678,142153,0,0,45.91,54.09,0.0,0.0,,
CO-06,house,CO,06,252258,169642,82617,0,0,67.25,32.75,0.0,0.0,,
CO-07,house,CO,07,312038,199364,112673,0,0,63.89,36.11,0.0,0.0,,
CO-08,house,CO,08,241150,128010,113140,0,0,53.08,46.92,0.0,0.0,,
CT-01,house,CT,01,240779,162769,78010,0,0,67.6,32.4,0.0,0.0,,
CT-02,house,CT,02,272012,170984,101028,0,0,62.86,37.14,0.0,0.0,,
CT-03,house,CT,03,239430,151745,87685,0,0,63.38,36.62,0.0,0.0,,
CT-04,house,CT,04,236923,157731,79192,0,0,66.57,33.43,0.0,0.0,,
CT-05,house,CT,05,241996,137544,104452,0,0,56.84,43.16,0.0,0.0,,
DE-01,house,DE,01,357542,224290,133253,0,0,62.73,37.27,0.0,0.0,,
FL-01,house,FL,01,295828,97571,198258,0,0,32.98,67.02,0.0,0.0,,
FL-02,house,FL,02,289194,123960,165234,0,0,42.86,57.14,0.0,0.0,,
FL-03,house,FL,03,280531,113426,167104,0,0,40.43,59.57,0.0,0.0,,
FL-04,house,FL,04,279123,127418,151704,0,0,45.65,54.35,0.0,0.0,,
FL-05,house,FL,05,307352,123404,183948,0,0,40.15,59.85,0.0,0.0,,
FL-06,house,FL,06,309800,112248,197552,0,0,36.23,63.77,0.0,0.0,,
FL-07,house,FL,07,300032,139028,161004,0,0,46.34,53.66,0.0,0.0,,
FL-08,house,FL,08,302647,131717,170930,0,0,43.52,56.48,0.0,0.0,,
FL-09,house,FL,09,262880,132647,130233,0,0,50.46,49.54,0.0,0.0,,
FL-10,house,FL,10,209940,146162,63778,0,0,69.62,30.38,0.0,0.0,,
