race_code,race_type,state,district,total_votes,dem_votes,rep_votes,ind_votes,oth_votes,dem_pct,rep_pct,ind_pct,oth_pct,oth_party,ind_name
AK-GOV,governor,AK,GOV,236446,110798,121865,0,3783,46.86,51.54,0.0,1.6,,
AL-GOV,governor,AL,GOV,1585563,610896,974667,0,0,38.53,61.47,0.0,0.0,,
AR-GOV,governor,AR,GOV,839457,301516,537941,0,0,35.92,64.08,0.0,0.0,,
AZ-GOV,governor,AZ,GOV,2372523,1259859,1112665,0,0,53.1,46.9,0.0,0.0,,
CA-GOV,governor,CA,GOV,11098543,7134810,3963733,0,0,64.29,35.71,0.0,0.0,,
CO-GOV,governor,CO,GOV,2234922,1335199,899722,0,0,59.74,40.26,0.0,0.0,,
CT-GOV,governor,CT,GOV,1231140,717994,513145,0,0,58.32,41.68,0.0,0.0,,
FL-GOV,governor,FL,GOV,7654826,3623861,4030965,0,0,47.34,52.66,0.0,0.0,,
GA-GOV,governor,GA,GOV,3675046,1757856,1917191,0,0,47.83,52.17,0.0,0.0,,
HI-GOV,governor,HI,GOV,361691,234999,126691,0,0,64.97,35.03,0.0,0.0,,
IA-GOV,governor,IA,GOV,1164454,587016,577438,0,0,50.41,49.59,0.0,0.0,,
ID-GOV,governor,ID,GOV,633543,170605,462937,0,0,26.93,73.07,0.0,0.0,,
IL-GOV,governor,IL,GOV,3954737,2312922,1641815,0,0,58.48,41.52,0.0,0.0,,
KS-GOV,governor,KS,GOV,929314,392674,536640,0,0,42.25,57.75,0.0,0.0,,
MA-GOV,governor,MA,GOV,2431568,1590690,840878,0,0,65.42,34.58,0.0,0.0,,
MD-GOV,governor,MD,GOV,2126834,1431637,695197,0,0,67.31,32.69,0.0,0.0,,
ME-GOV,governor,ME,GOV,581962,317242,264721,0,0,54.51,45.49,0.0,0.0,,
MI-GOV,governor,MI,GOV,3964262,2165515,1798746,0,0,54.63,45.37,0.0,0.0,,
MN-GOV,governor,MN,GOV,2277744,1233861,1043883,0,0,54.17,45.83,0.0,0.0,,
NE-GOV,governor,NE,GOV,663011,260312,402699,0,0,39.26,60.74,0.0,0.0,,
NH-GOV,governor,NH,GOV,578332,249684,328649,0,0,43.17,56.83,0.0,0.0,,
NM-GOV,governor,NM,GOV,646377,345156,301221,0,0,53.4,46.6,0.0,0.0,,
NV-GOV,governor,NV,GOV,1039067,538112,500955,0,0,51.79,48.21,0.0,0.0,,
NY-GOV,governor,NY,GOV,5813499,3287072,2526426,0,0,56.54,43.46,0.0,0.0,,
OH-GOV,governor,OH,GOV,4035512,1914707,2120805,0,0,47.45,52.55,0.0,0.0,,
OK-GOV,governor,OK,GOV,1096222,365656,730567,0,0,33.36,66.64,0.0,0.0,,
