race_code,cand_id,name,party,slot,primary_pct,first_pct,xparty,repel,keep,incumbent,status,note
AK-SEN,C-0001,Mary Peltola,DEM,dem,49.5,,,,,0,confirmed,
AK-SEN,C-0002,Dan S. Sullivan,REP,rep,41.4,,,,,1,confirmed,
AK-SEN,C-1062,Daniel J. Sullivan Jr.,NPA,,2.5,,,,,0,confirmed,"Retired Petersburg teacher; no party listed. Ballot-name confusion with the incumbent is the likely source of his share, which would argue for xparty=REP -- but nothing measures it, and a confused voter may equally rank no second choice at all. Left neutral: AFFINITY['NPA'] is symmetric by design because Alaska's undeclared plurality is mixed. Worth 1.4 pts to the margin, so revisit if evidence appears."
AK-SEN,C-1065,David Leslie,DEM,,1.1,,,,,0,withdrawn,"Certified 4th at 1,850 votes (1.1%), 109 ahead of Heikes -- then withdrew before the 5:00pm 2026-08-31 deadline. Alaska advances the next finisher when a qualifier withdraws 64+ days out, so the slot passed to Heikes."
AK-SEN,C-1066,Gerald L. Heikes,REP,,1.0,,,,,0,confirmed,"Certified 5th at 1,741 votes (1.0%) but ON THE BALLOT: Leslie withdrew by the 2026-08-31 deadline and Alaska advanced the fifth-place finisher. This is the row the design left pending; it is now resolved."
AK-GOV,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,22.5,,,,,0,confirmed,"Now the ONLY Democrat on the ballot. Tom Begich withdrew 2026-08-28 and endorsed him expressly to consolidate the Democratic vote. primary_pct splits a bloc only between its own candidates, so he goes from ~52% of the Dem bloc to all of it -- the single largest change this update makes."
AK-GOV,C-1060,Tom Begich,DEM,,20.8,,,,,0,withdrawn,"Certified 2nd at 34,172 votes (20.8%); withdrew 2026-08-28 endorsing Kreiss-Tomkins. Kept as a withdrawn row rather than deleted because he was in the published field: this is the audit trail for the field changing. His exit is also what set the 4th slot cascading down the Republican list."
AK-GOV,C-0074,Bernadette Wilson,REP,rep,10.0,,,0.1325,,0,confirmed,"Mutual same-party feud with Bronson. Both signed a May 2026 pledge to withdraw if they did not take a majority of the Republican primary vote; neither did (Wilson 20.3%, Bronson 15.9%) and both stayed in. Bronson was reported robocalling against her (2026-08-26), and she is a primary sponsor of the initiative to REPEAL ranked-choice voting, so her campaign will not be teaching anyone to rank a second choice. repel = REPEL_FEUD (0.1325), the MIDPOINT of Alaska's two observed regimes -- Aug 2022 Palin (0.265, maximum refusal) and Nov 2024, when Republicans consolidated behind Begich and there was no refusal to measure. Neither Wilson nor Bronson is a Palin-class outlier, so the Palin ceiling was the wrong default. Replace with a measured `keep` if ranked-preference polling appears."
AK-GOV,C-1061,Dave Bronson,REP,,8.1,,,0.1325,,0,confirmed,"Mutual same-party feud with Wilson -- see her row. Set symmetrically so the elimination order does not decide whether the feud is modelled; in practice only the survivor's repel fires. repel = REPEL_FEUD (0.1325), the midpoint of the Aug 2022 / Nov 2024 bracket rather than the Palin ceiling."
AK-GOV,C-1068,Candice English,REP,,7.3,,,,,0,confirmed,"Treg Taylor's LG nominee, elevated to the ticket's head. Taylor was certified 5th (11,928, 7.3%) and moved into the 4th slot on Begich's withdrawal, but Lt. Gov. Dahlstrom refused to certify him on 2026-08-31 over an AS 39.50 financial-disclosure failure. English was not disqualified and named a running mate by the 5:00pm deadline, so she holds the slot. primary_pct is the Taylor/English ticket's certified share."
AK-GOV,C-1069,Adam Crum,REP,,5.4,,,,,0,not_advanced,"Certified 7th at 8,922 votes (5.4%); next in line only if English had failed to qualify, which she did not. Kept as a row because the cascade is easy to re-derive wrongly: it skips Click Bishop (R), 6th at 11,527 (7.0%), because Bishop AND running mate Greta Schuerch both withdrew before the deadline."
AK-01,C-0145,Nick Begich III,REP,rep,44.6,,,,,1,confirmed,
AK-01,C-1013,Bill Hill,IND,ind,32.5,,,,,0,confirmed,Anchors the field against Begich; caucus DEM for chamber control (races.csv ind_caucus).
AK-01,C-1063,Eric Hafner,DEM,,3.8,,,,,0,confirmed,
AK-01,C-1064,John B. Williams,DEM,,2.7,,,,,0,withdrawn,"Certified 5th at 4,404 votes (2.7%) and had advanced in Matt Schultz's place -- then withdrew himself after the primary, before the 2026-08-31 deadline. The slot cascaded past Clay Strickland (R, 2.3%), who also withdrew, to Reynoso."
AK-01,C-1070,Yaquelin Reynoso,DEM,,1.8,,,,,0,withdrawn,"Certified 7th at 2,916 votes (1.8%) and briefly next in line for the 4th slot; withdrew before the 2026-08-31 deadline, so the cascade continued to McDermott."
AK-01,C-1071,"James C. ""Jim"" McDermott",LIB,,1.2,,,,,0,confirmed,"Certified 8th at 1,948 votes (1.2%) and ON THE BALLOT: AK-01's 4th slot cascaded through four withdrawals -- Schultz (D, 8.1%, pre-primary), John B. Williams (D, 2.7%), Clay Strickland (R, 2.3%) and Yaquelin Reynoso (D, 1.8%) -- to the Libertarian. Business professor, third run for this seat. The only non-DEM/REP/IND candidate in any 2026 ranked field, so he is also the only one priced off AFFINITY['LIB']."
ME-SEN,C-1043,Troy Jackson,DEM,dem,,,,,,0,confirmed,
ME-SEN,C-0030,Susan Collins,REP,rep,,,,,,1,confirmed,
ME-01,C-0535,Chellie Pingree,DEM,dem,,,,,,1,confirmed,
ME-01,C-0536,Ronald Russell,REP,rep,,,,,,0,confirmed,
ME-02,C-0537,Matthew Dunlap,DEM,dem,,,,,,0,confirmed,
ME-02,C-0538,Paul LePage,REP,rep,,,,,,0,confirmed,
