race_code,race_type,state,district,total_votes,dem_votes,rep_votes,ind_votes,oth_votes,dem_pct,rep_pct,ind_pct,oth_pct,oth_party,ind_name
AK-GOV,governor,AK,GOV,236446,109427,123236,0,3783,46.28,52.12,0.0,1.6,,
AL-GOV,governor,AL,GOV,1585563,628667,956896,0,0,39.65,60.35,0.0,0.0,,
AR-GOV,governor,AR,GOV,839457,310167,529290,0,0,36.95,63.05,0.0,0.0,,
AZ-GOV,governor,AZ,GOV,2372523,1270627,1101897,0,0,53.56,46.44,0.0,0.0,,
CA-GOV,governor,CA,GOV,11098543,7128522,3970021,0,0,64.23,35.77,0.0,0.0,,
CO-GOV,governor,CO,GOV,2234922,1295897,939025,0,0,57.98,42.02,0.0,0.0,,
CT-GOV,governor,CT,GOV,1231140,731784,499356,0,0,59.44,40.56,0.0,0.0,,
FL-GOV,governor,FL,GOV,7654826,3642735,4012091,0,0,47.59,52.41,0.0,0.0,,
GA-GOV,governor,GA,GOV,3675046,1902370,1772676,0,0,51.76,48.24,0.0,0.0,,
HI-GOV,governor,HI,GOV,361691,238859,122831,0,0,66.04,33.96,0.0,0.0,,
IA-GOV,governor,IA,GOV,1164454,602756,561698,0,0,51.76,48.24,0.0,0.0,,
ID-GOV,governor,ID,GOV,633543,177459,456084,0,0,28.01,71.99,0.0,0.0,,
IL-GOV,governor,IL,GOV,3954737,2340786,1613951,0,0,59.19,40.81,0.0,0.0,,
KS-GOV,governor,KS,GOV,929314,410276,519038,0,0,44.15,55.85,0.0,0.0,,
MA-GOV,governor,MA,GOV,2431568,1596939,834629,0,0,65.68,34.32,0.0,0.0,,
MD-GOV,governor,MD,GOV,2126834,1449661,677173,0,0,68.16,31.84,0.0,0.0,,
ME-GOV,governor,ME,GOV,581962,325528,256434,0,0,55.94,44.06,0.0,0.0,,
MI-GOV,governor,MI,GOV,3964262,2239668,1724594,0,0,56.5,43.5,0.0,0.0,,
MN-GOV,governor,MN,GOV,2277744,1246149,1031595,0,0,54.71,45.29,0.0,0.0,,
NE-GOV,governor,NE,GOV,663011,272611,390400,0,0,41.12,58.88,0.0,0.0,,
NH-GOV,governor,NH,GOV,578332,257825,320507,0,0,44.58,55.42,0.0,0.0,,
NM-GOV,governor,NM,GOV,646377,346761,299616,0,0,53.65,46.35,0.0,0.0,,
NV-GOV,governor,NV,GOV,1039067,535966,503101,0,0,51.58,48.42,0.0,0.0,,
NY-GOV,governor,NY,GOV,5813499,3325338,2488161,0,0,57.2,42.8,0.0,0.0,,
