race_code,cand_id,name,party,slot,incumbent,first_pct,final_pct,win_prob,won
AK-GOV,C-0073,Jonathan Kreiss-Tomkins,DEM,dem,0,47.61,57.71,96.0,1
AK-GOV,C-0074,Bernadette Wilson,REP,rep,0,20.63,42.29,4.0,0
AK-GOV,C-1061,Dave Bronson,REP,,0,16.71,0.0,0.0,0
AK-GOV,C-1068,Treg Taylor,REP,,0,15.06,0.0,0.0,0
AK-SEN,C-0001,Mary Peltola,DEM,dem,0,48.59,50.26,53.7,1
AK-SEN,C-0002,Dan S. Sullivan,REP,rep,1,47.76,49.74,46.3,0
AK-SEN,C-1062,Daniel J. Sullivan Jr.,NPA,,0,2.5,0.0,0.0,0
AK-SEN,C-1066,Gerald L. Heikes,REP,,0,1.15,0.0,0.0,0
ME-SEN,C-1043,Troy Jackson,DEM,dem,0,50.95,50.95,58.9,1
ME-SEN,C-0030,Susan Collins,REP,rep,1,49.05,49.05,41.1,0
AK-01,C-0145,Nick Begich III,REP,rep,1,49.39,51.01,59.9,1
AK-01,C-1013,Bill Hill,IND,ind,0,45.61,48.99,40.1,0
AK-01,C-1063,Eric Hafner,DEM,,0,3.8,0.0,0.0,0
AK-01,C-1071,"James C. ""Jim"" McDermott",LIB,,0,1.2,0.0,0.0,0
ME-01,C-0535,Chellie Pingree,DEM,dem,1,66.24,66.24,99.9,1
ME-01,C-0536,Ronald Russell,REP,rep,0,33.76,33.76,0.1,0
ME-02,C-0537,Matthew Dunlap,DEM,dem,0,48.26,48.26,35.3,0
ME-02,C-0538,Paul LePage,REP,rep,0,51.74,51.74,64.7,1
